wine_id,wine_kor_name,wine_eng_name,wine_type,wine_region,wine_min_temp,wine_max_temp,wine_sweetness,wine_acidity,wine_body,wine_tannin,wine_food,wine_tasting_note
1,"샤또 마고","Chateau Margaux",Red,France,16,18,2,3,4,5,"스테이크, 양갈비, 치즈 플래터","복합적인 아로마와 우아한 구조를 가진 와인"
2,"로마네 콩티","Romanee Conti",Red,France,16,18,2,4,4,5,"가금류, 송로버섯 리조또, 오리 요리","미세한 타닌과 복합적인 아로마를 가진 와인"
3,"샤또 라피트 로칠드","Chateau Lafite Rothschild",Red,France,16,18,2,3,4,5,"스테이크, 비프 웰링턴, 블루 치즈","부드러운 타닌과 복합적인 아로마가 특징인 와인"
4,"오퍼스 원","Opus One",Red,USA,16,18,2,4,5,5,"스테이크, 송아지 갈비, 체다 치즈","복합적인 아로마와 풍부한 구조를 가진 와인"
5,"도멘 드 라 로마네 콩티","Domaine de la Romanee Conti",Red,France,16,18,2,4,4,5,"가금류, 송로버섯 파스타, 오리 가슴살","미세한 타닌과 복합적인 아로마를 가진 와인"
6,"샤또 오브리옹","Chateau Haut-Brion",Red,France,16,18,2,3,4,5,"스테이크, 양갈비, 브리 치즈","부드러운 타닌과 복합적인 아로마가 특징인 와인"
7,"샤또 무똥 로칠드","Chateau Mouton Rothschild",Red,France,16,18,2,3,4,5,"스테이크, 비프 스튜, 고르곤졸라 치즈","복합적인 아로마와 풍부한 구조를 가진 와인"
8,"도멘 르루아","Domaine Leroy",Red,France,16,18,2,4,4,5,"가금류, 송로버섯 리조또, 오리 요리","미세한 타닌과 복합적인 아로마를 가진 와인"
9,"샤또 라투르","Chateau Latour",Red,France,16,18,2,3,4,5,"스테이크, 비프 브루기뇽, 블루 치즈","부드러운 타닌과 복합적인 아로마가 특징인 와인"
10,"샤또 슈발 블랑","Chateau Cheval Blanc",Red,France,16,18,2,3,4,5,"스테이크, 양갈비, 카망베르 치즈","복합적인 아로마와 풍부한 구조를 가진 와인"
11,"샤블리 그랑 크뤼","Chablis Grand Cru",White,France,8,10,1,5,3,1,"해산물, 굴, 회","미네랄리티가 돋보이는 상쾌한 와인"
12,"조셉 드루앵 폴리니 몽라셰","Joseph Drouhin Puligny-Montrachet",White,France,8,10,1,5,4,1,"해산물, 버터 소스 요리, 치즈 플래터","복합적인 아로마와 풍부한 구조를 가진 와인"
13,"클라우디 베이 소비뇽 블랑","Cloudy Bay Sauvignon Blanc",White,"New Zealand",8,10,2,5,3,1,"샐러드, 치킨, 아시아 요리","상쾌한 과일향과 산미가 특징인 와인"
14,"루이 라투르 샤블리","Louis Latour Chablis",White,France,8,10,1,5,3,1,"해산물, 초밥, 샐러드","미네랄리티와 산미가 돋보이는 와인"
15,"몬테스 알파 샤르도네","Montes Alpha Chardonnay",White,Chile,10,12,2,4,4,1,"파스타, 구운 닭고기, 연어","풍부한 과일향과 부드러운 맛이 어우러진 와인"
16,"케이크브레드 샤르도네","Cakebread Chardonnay",White,USA,10,12,2,4,4,1,"치즈, 해산물, 크림 소스 요리","복합적인 아로마와 부드러운 맛이 특징인 와인"
17,"젠스 리슬링","Zens Riesling",White,Germany,8,10,3,5,2,1,"스파이시 푸드, 아시아 요리, 과일 디저트","달콤한 맛과 높은 산미가 어우러진 와인"
18,콘드리유,Condrieu,White,France,8,10,2,5,3,1,"해산물, 새우 요리, 치즈 플래터","꽃향기와 과일향이 어우러진 와인"
19,"피에로판 소아베 클라시코","Pieropan Soave Classico",White,Italy,8,10,1,4,3,1,"샐러드, 해산물, 파스타","상쾌하고 산뜻한 맛이 특징인 와인"
20,"토키즈 몽터리 샤르도네","Torres Vina Sol Chardonnay",White,Spain,8,10,2,4,3,1,"파스타, 구운 닭고기, 연어","부드러운 과일향과 산미가 어우러진 와인"
21,"모엣 샹동 브뤼 임페리얼","Moet & Chandon Brut Imperial",Sparkling,France,6,8,2,5,3,1,"해산물, 캐비어, 치즈 플래터","상쾌한 과일향과 미세한 거품이 특징인 와인"
22,"도메인 카르네로스 브뤼","Domaine Carneros Brut",Sparkling,USA,6,8,2,5,3,1,"해산물, 굴, 과일 디저트","풍부한 과일향과 미세한 거품이 어우러진 와인"
23,"로랑 페리에 브뤼","Laurent-Perrier Brut",Sparkling,France,6,8,2,5,3,1,"해산물, 초밥, 과일","상쾌한 과일향과 미세한 거품이 특징인 와인"
24,"볼리거 스페셜 쿠베 브뤼","Bollinger Special Cuvee Brut",Sparkling,France,6,8,2,5,3,1,"해산물, 새우, 치즈 플래터","풍부한 과일향과 미세한 거품이 어우러진 와인"
25,"베우클리코 퐁사르댕 브뤼","Veuve Clicquot Ponsardin Brut",Sparkling,France,6,8,2,5,3,1,"해산물, 연어, 치즈 플래터","상쾌한 과일향과 미세한 거품이 특징인 와인"
26,"크루그 그랑드 큐베","Krug Grande Cuvee",Sparkling,France,6,8,2,5,3,1,"해산물, 캐비어, 치즈 플래터","복합적인 아로마와 풍부한 거품이 특징인 와인"
27,"태틀린저 브뤼","Taittinger Brut",Sparkling,France,6,8,2,5,3,1,"해산물, 초밥, 과일","상쾌한 과일향과 미세한 거품이 어우러진 와인"
28,"페리에 쥬에 그랑 브뤼","Perrier-Jouet Grand Brut",Sparkling,France,6,8,2,5,3,1,"해산물, 새우, 과일 디저트","풍부한 과일향과 미세한 거품이 특징인 와인"
29,"루이나르 블랑 드 블랑","Ruinart Blanc de Blancs",Sparkling,France,6,8,2,5,3,1,"해산물, 연어, 치즈 플래터","상쾌한 과일향과 미세한 거품이 특징인 와인"
30,"돔 페리뇽","Dom Perignon",Sparkling,France,6,8,2,5,3,1,"해산물, 캐비어, 치즈 플래터","복합적인 아로마와 미세한 거품이 특징인 와인"
